source,target,value
生活經驗,數數兒,0.1
生活經驗,加法,0.1
生活經驗,減法,0.1
生活經驗,乘法,0.2
生活經驗,除法,0.3
生活經驗,數感,0.1
生活經驗,量感,0.1
量感,數感,0.1
數數兒,加法,0.1
加法,減法,0.1
數數兒,幾個一數,0.1
幾個一數,乘法,0.2
加法,乘法,0.2
幾個一數,倍數,0.3
幾個一數,奇偶,0.1
乘法,倍數,0.3
倍數,因數與倍數.htm,0.5
生活經驗,看日曆,0.1
生活經驗,看時鐘,0.2
看時鐘,時間的計算,0.5
分數,時間的計算,0.5
乘法,除法,0.3
減法,除法,0.3
除法,分數.htm,0.4
相似三角形.htm,三角函數,1.0
勾股定理.htm,三角函數,1.0
三角函數,三角測量,1.0
三角函數,極座標,1.0
極座標,複數的極式,1.1
一元二次方程式.htm,複數,1.1
複數,複數的極式,1.1
機率與統計.htm,排列組合,1.0
直角座標.htm,向量,1.1
向量,三維解析幾何,1.1
幾何證明.htm,邏輯與集合,1.1
幾何證明.htm,立體幾何,1.3
線性代數,幾何學,1.4
微積分,幾何學,1.4
立體幾何,幾何學,1.4
直角座標.htm,三維解析幾何,1.1
勾股定理.htm,圓的方程式,1.1
直角座標.htm,圓的方程式,1.1
圓的方程式,圓錐曲線,1.1
三角函數,圓錐曲線,1.1
二元一次方程式.htm,高斯消去法,1.1
向量,矩陣與線性變換,1.2
指數與對數.htm,微積分入門,1.2
多項式.htm,微積分入門,1.2
高斯消去法,線性代數,1.3
矩陣與線性變換,線性代數,1.3
線性代數,張量分析,1.7
微積分入門,微積分,1.3
立體幾何,微積分,1.3
排列組合,離散數學,1.3
離散數學,資訊科學,1.3
微積分,資訊科學,1.3
排列組合,機率論,1.3
機率與統計.htm,統計學,1.3
機率與統計.htm,賽局論,1.4
線性代數,數值分析,1.5
數值分析,資訊科學,1.3
資訊科學,數值分析,1.5
資訊科學,作業研究,1.5
排列組合,機率論,1.3
機率與統計.htm,統計學,1.3
統計學,無母數統計,1.7
統計學,推論統計,1.4
微積分,微分方程,1.4
微積分,分析學,1.4
微積分,非標準分析,1.4
非標準分析,微積分,1.3
微積分,動態系統與混沌,1.4
邏輯與集合,分析學,1.4
分析學,碎形幾何,1.7
非標準分析,碎形幾何,1.7
分析學,測度論,1.7
非標準分析,測度論,1.7
分析學,微分幾何,1.8
非標準分析,微分幾何,1.8
抽象代數,微分幾何,1.8
拓樸學,微分幾何,1.8
抽象代數,代數幾何,1.9
幾何學,代數幾何,1.9
線性代數,抽象代數,1.5
抽象代數,拓樸學,1.8
抽象代數,範疇論,1.9
抽象代數,形式系統,1.7
形式系統,模型論,1.9
形式系統,λ演算,1.9
邏輯與集合,模糊數學,1.8
抽象代數,1.8
物理::力學,向量,1.1
物理::力學,函數圖形,0.7
物理::力學,微積分,1.3
物理::電磁學,微分方程,1.3
物理::流體力學,微分方程,1.3
物理::熱力學,微分方程,1.3
物理::廣義相對論,微分幾何,1.3
化學::分子結構,抽象代數,1.6
化學::化學平衡式,二元一次方程式.htm,0.8
法律::理則學,邏輯與集合,1.1
經濟::決策分析,賽局論,1.4
藝術::透視法,三角函數,1.0
藝術::對稱圖,抽象代數,1.5
藝術::拼貼,抽象代數,1.5
資工::程式設計,資訊科學,1.3
資工::程式設計,邏輯與集合,1.3
資工::Haskell,λ演算,1.9
資工::人工智能,模糊數學,1.8
心理::心理實驗法,推論統計,1.4
政治::民意調查,統計學,1.3
商學::市場調查,推論統計,1.4
商學::成本效益計算,不等式.htm,0.8
商學::邊際分析,微積分,1.3
商學::最佳化問題,作業研究,1.5
生活::排筷子,奇偶,0.1
生活::收垃圾,體積與容積.htm,0.5
生活::洗碗,體積與容積.htm,0.5
生活::廚藝,體積與容積.htm,0.5
生活::廚藝,比與比值.htm,0.7
生活::折綿被,分數.htm,0.4
生活::掃地,面積的估算.htm,0.4